Id,Date,TotalSteps,TotalDistance,TotalActiveMinutes,Heart_rate,Calories
2347167796,2016-04-22,7804,5.15999984741211,242,71.996402093327475,1946
2347167796,2016-04-13,10352,7.01000022888184,246,73.812904618040662,2038
2347167796,2016-04-23,16901,11.3699998855591,427,83.433092318977245,2629
4388161847,2016-04-27,11193,8.60999965667725,300,62.120521869318772,3074
4388161847,2016-04-30,12533,9.64000034332275,357,64.227692969253951,3283
4388161847,2016-05-05,9603,7.38000011444092,250,61.041297935103223,2899
4388161847,2016-05-06,13175,10.1300001144409,340,69.07669760625302,3425
4388161847,2016-05-07,22770,17.5400009155273,436,66.627120407950869,4022
4388161847,2016-04-15,8758,6.73000001907349,299,67.4709397066812,3066
4388161847,2016-04-17,4660,3.57999992370605,201,66.391345029239758,2572
4388161847,2016-05-12,3369,2.58999991416931,108,60.246909765142149,1623
